GRI1,GRI2,GRI3,GRI4,GRI5,GRI6,GRI7,GRI8,GRI9,GRI10,GRI11,GRI12,GRI13,GRI14,GRI15,GRI16,GRI17,GRI18,GRI19,GRI20,GRI21,GRI22,GRI23,GRI24,GRI25,GRI26,GRI27,GRI28,GRI29,GRI30,GRI31,GRI32,GRI33,GRI34,GRI35,GRI36,GRI37,GRI38,GRI39,GRI40,GRI41,SOGS4,SOGS5,SOGS6,SOGS7,SOGS8,SOGS9,SOGS10,SOGS11,SOGS12,SOGS13,SOGS14,SOGS15,Student,ID
2,2,2,1,1,1,2,1,1,2,1,1,1,2,3,1,1,4,1,1,1,5,1,3,5,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,29
2,2,2,1,1,1,2,1,1,2,1,1,1,2,3,1,1,4,1,1,1,5,1,3,5,1,1,2,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,30
2,2,2,4,2,1,2,2,1,1,1,3,2,5,2,1,2,1,1,5,2,1,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,31
1,6,1,5,1,2,5,1,1,1,1,5,1,1,4,1,1,1,1,6,1,1,4,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,1,0,0,0,0,1,0,0,0,1,32
2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,33
3,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,4,1,1,1,3,3,1,6,4,1,3,1,1,6,1,1,4,1,1,3,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,34
3,1,1,1,1,1,2,1,1,1,1,1,1,4,1,1,4,1,1,1,3,3,1,6,4,1,3,1,1,6,1,1,4,1,1,3,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,35
1,1,2,2,1,1,1,1,1,1,1,5,1,2,2,1,1,1,1,6,1,1,1,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,36
1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,37
1,5,1,1,1,1,1,5,1,1,1,6,1,1,3,1,1,1,1,5,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,0,0,0,1,0,0,0,1,38
1,2,2,3,3,1,3,4,1,2,1,5,2,5,2,2,3,2,4,5,1,1,1,1,2,1,2,1,1,1,1,4,1,2,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,39
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,40
6,6,1,1,1,1,1,6,1,1,1,6,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,41
3,1,1,2,2,1,4,2,2,2,2,4,2,4,4,1,2,3,3,5,1,2,3,3,2,2,3,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,42
1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,43
2,1,1,1,2,2,2,1,2,2,2,3,1,5,1,1,2,1,1,1,1,5,1,1,2,1,2,1,2,6,1,1,1,1,1,2,2,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,44
2,1,1,1,2,2,2,1,2,2,2,3,1,5,1,1,2,1,1,1,1,5,1,1,2,1,2,1,2,6,1,1,1,1,1,2,2,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,45
1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,2,6,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,46
1,1,1,1,2,2,2,1,2,1,3,6,2,5,3,2,3,2,2,2,2,3,2,3,3,2,3,2,3,4,2,1,2,2,1,2,1,1,1,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,47
1,1,1,1,2,2,2,1,2,1,3,6,2,5,3,2,3,2,2,2,2,3,2,3,3,2,3,2,3,4,2,1,2,2,1,2,1,1,1,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,48
1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,49
1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,50
1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,51
1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,52
1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,53
1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,54
2,1,2,1,1,2,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,2,3,1,1,1,1,4,1,2,1,1,3,3,2,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,55
2,1,2,1,1,2,2,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,2,3,1,1,1,1,4,1,2,1,1,3,3,2,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,56
2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,57
5,6,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,1,58
2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,1,0,0,0,0,1,0,0,0,1,59
2,1,1,2,2,1,1,1,1,2,1,5,2,2,4,1,1,1,3,5,1,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,60
1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,2,1,1,1,1,1,3,1,1,0,0,0,0,0,1,0,0,0,1,61
1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,2,1,1,1,1,1,3,1,1,0,0,0,0,0,1,0,0,0,1,62
1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,63
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,64
1,1,3,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,5,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,65
1,1,1,1,1,1,2,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,1,66
1,1,1,1,1,1,2,1,1,1,1,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,1,67
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,68
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,69
1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,70
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,1,71
1,1,2,5,1,1,1,1,1,1,1,6,1,2,1,1,2,1,3,5,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,0,0,0,0,0,0,0,0,1,72
1,5,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,3,1,2,1,1,3,1,2,1,1,1,1,1,2,1,2,1,1,1,0,0,0,0,1,0,0,0,1,73
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,74
1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,75
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,76
4,1,3,3,3,1,1,5,2,3,1,4,1,2,3,1,1,2,4,5,2,2,2,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,77
2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,6,1,1,6,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,78
2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,6,1,1,6,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,79
2,6,1,3,2,2,4,5,2,1,4,2,1,2,3,1,2,1,1,6,1,1,4,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,80
2,1,1,4,1,1,1,2,1,1,1,6,2,6,1,1,1,2,2,6,1,4,3,1,1,4,3,1,1,1,1,4,1,1,1,1,1,1,3,2,1,2,1,1,0,0,0,0,0,1,0,0,0,1,81
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,82
2,6,1,2,2,1,2,2,2,2,2,4,2,1,2,2,2,2,2,5,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,1,83
1,1,1,1,1,1,2,1,1,1,1,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,84
1,1,1,1,1,1,2,1,1,1,1,6,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,85
2,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,1,86
2,2,4,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,87
1,1,5,3,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,88
1,6,1,1,5,1,3,1,1,1,1,5,1,1,1,1,1,1,1,6,1,1,1,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,2,1,1,0,0,0,0,0,0,0,0,0,1,89
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,90
3,6,1,2,1,1,1,1,1,1,1,6,1,1,1,1,1,1,2,1,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,0,0,0,0,0,0,0,0,1,91
1,1,1,1,1,2,2,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,6,6,6,1,1,1,1,2,2,1,1,6,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,92
1,1,1,1,1,2,2,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,6,6,6,1,1,1,1,2,2,1,1,6,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,93
2,1,1,2,1,2,2,1,1,2,2,2,3,2,4,1,2,2,2,2,4,5,1,5,4,1,4,1,2,5,2,2,4,1,1,2,3,1,2,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,94
2,1,1,2,1,2,2,1,1,2,2,2,3,2,4,1,2,2,2,2,4,5,1,5,4,1,4,1,2,5,2,2,4,1,1,2,3,1,2,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,95
1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1,5,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,96
1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,4,1,1,3,1,1,1,1,5,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,97
1,1,2,1,1,1,2,1,1,1,6,6,1,6,3,2,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,1,98
1,1,2,1,1,1,2,1,1,1,6,6,1,6,3,2,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,1,99
2,1,2,1,1,2,2,1,1,2,2,1,2,5,1,1,1,1,1,1,1,5,2,2,2,1,2,2,2,4,1,1,2,2,2,2,1,1,2,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,100
2,1,2,1,1,2,2,1,1,2,2,1,2,5,1,1,1,1,1,1,1,5,2,2,2,1,2,2,2,4,1,1,2,2,2,2,1,1,2,1,1,2,1,1,0,0,0,0,0,1,0,0,0,1,101
2,1,2,1,1,2,2,1,1,2,1,4,1,1,1,1,6,1,1,1,1,6,1,6,6,1,1,1,1,6,1,1,1,1,1,5,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,102
2,1,2,1,1,2,2,1,1,2,1,4,1,1,1,1,6,1,1,1,1,6,1,6,6,1,1,1,1,6,1,1,1,1,1,5,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,103
1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,104
1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,5,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,105
2,2,2,3,1,2,2,2,2,2,2,3,2,5,2,1,2,2,2,5,2,2,2,2,3,3,3,1,1,1,1,3,1,1,1,1,1,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,106
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,1,1,1,1,0,1,0,1,0,0,0,1,107
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,1,1,1,1,0,1,0,1,0,0,0,1,108
1,1,1,3,1,1,2,1,1,2,1,4,1,1,1,1,1,1,1,5,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,109
2,6,2,3,1,1,2,1,1,1,1,5,2,1,4,1,2,4,2,5,1,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,3,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,110
2,2,3,4,1,1,1,1,1,1,1,4,1,5,2,1,1,1,1,3,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,111
1,1,1,1,1,2,2,2,1,2,2,6,1,2,6,2,2,2,2,5,2,2,2,2,3,2,2,2,2,5,2,2,2,2,2,2,4,2,4,4,1,2,2,1,1,0,1,1,1,0,0,1,1,1,112
1,1,1,1,1,2,2,2,1,2,2,6,1,2,6,2,2,2,2,5,2,2,2,2,3,2,2,2,2,5,2,2,2,2,2,2,4,2,4,4,1,2,2,1,1,0,1,1,1,0,0,1,1,1,113
2,2,3,2,1,2,1,1,1,2,3,3,3,1,1,2,4,4,4,4,3,3,2,5,4,2,2,4,3,4,2,2,5,5,4,5,1,1,3,4,2,3,2,2,1,1,1,1,1,0,0,0,0,1,114
2,2,3,2,1,2,1,1,1,2,3,3,3,1,1,2,4,4,4,4,3,3,2,5,4,2,2,4,3,4,2,2,5,5,4,5,1,1,3,4,2,3,2,2,1,1,1,1,1,0,0,0,0,1,115
2,1,1,2,1,1,1,1,1,1,1,4,1,3,1,1,1,1,3,5,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,116
2,2,1,1,2,2,2,2,2,2,2,2,1,4,3,1,4,2,2,2,1,4,2,4,2,2,4,2,2,5,2,4,3,2,2,2,2,1,4,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,117
2,2,1,1,2,2,2,2,2,2,2,2,1,4,3,1,4,2,2,2,1,4,2,4,2,2,4,2,2,5,2,4,3,2,2,2,2,1,4,1,1,2,1,1,1,0,0,0,0,0,0,0,0,1,118
2,1,2,2,2,1,2,2,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,5,1,1,1,1,1,2,2,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,119
2,1,2,2,2,1,2,2,2,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,5,1,1,1,1,1,2,2,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,1,120
3,2,3,4,2,1,4,2,1,2,2,4,2,3,4,2,2,2,3,5,2,2,2,2,2,2,3,1,3,2,2,3,2,2,1,3,1,1,4,1,3,2,2,1,0,0,0,0,0,0,0,0,0,1,121
1,2,1,2,1,1,3,1,1,1,2,1,1,2,2,1,1,3,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,0,0,0,0,0,0,0,0,0,1,122
